indicadores,grupos_coicop_nombre,provincias_nombre,periodos_id,IPC
Índices,General,Balears (Illes),2014M01,103.81
Índices,General,Balears (Illes),2015M01,102.7
Índices,General,Balears (Illes),2016M01,102.65
Índices,General,Barcelona,2002M01,74.55
Índices,General,Barcelona,2003M01,77.64
Índices,General,Barcelona,2004M01,79.91
Índices,General,Barcelona,2005M01,82.89
Índices,General,Barcelona,2006M01,86.76
Índices,General,Barcelona,2007M01,88.88
Índices,General,Barcelona,2008M01,92.72
Índices,General,Barcelona,2009M01,93.96
Índices,General,Barcelona,2010M01,95.3
Índices,General,Barcelona,2011M01,98.34
Índices,General,Barcelona,2012M01,100.56
Índices,General,Barcelona,2013M01,104.13
Índices,General,Barcelona,2014M01,104.5
Índices,General,Barcelona,2015M01,103.8
Índices,General,Barcelona,2016M01,103.88
Índices,General,Bizkaia,2002M01,76.78
Índices,General,Bizkaia,2003M01,79.48
Índices,General,Bizkaia,2004M01,81.43
Índices,General,Bizkaia,2005M01,83.89
Índices,General,Bizkaia,2006M01,87.32
Índices,General,Bizkaia,2007M01,89.5
Índices,General,Bizkaia,2008M01,93.08
Índices,General,Bizkaia,2009M01,94.22
Índices,General,Bizkaia,2010M01,95.28
Índices,General,Bizkaia,2011M01,98.32
Índices,General,Bizkaia,2012M01,100.26
Índices,General,Bizkaia,2013M01,102.89
Índices,General,Bizkaia,2014M01,103.56
Índices,General,Bizkaia,2015M01,102.39
Índices,General,Bizkaia,2016M01,102.38
Índices,General,Burgos,2002M01,76.6
Índices,General,Burgos,2003M01,78.91
Índices,General,Burgos,2004M01,80.82
Índices,General,Burgos,2005M01,83.32
Índices,General,Burgos,2006M01,86.74
Índices,General,Burgos,2007M01,89.09
Índices,General,Burgos,2008M01,93.25
Índices,General,Burgos,2009M01,93.89
Índices,General,Burgos,2010M01,94.92
Índices,General,Burgos,2011M01,97.9
Índices,General,Burgos,2012M01,100.44
Índices,General,Burgos,2013M01,103.62
Índices,General,Burgos,2014M01,104.05
Índices,General,Burgos,2015M01,102.49
Índices,General,Burgos,2016M01,102.07
Índices,General,Cáceres,2002M01,78.52
Índices,General,Cáceres,2003M01,80.95
Índices,General,Cáceres,2004M01,82.48
Índices,General,Cáceres,2005M01,84.77
Índices,General,Cáceres,2006M01,88.09
Índices,General,Cáceres,2007M01,90.06
Índices,General,Cáceres,2008M01,93.84
Índices,General,Cáceres,2009M01,94.65
Índices,General,Cáceres,2010M01,95.28
Índices,General,Cáceres,2011M01,98.32
Índices,General,Cáceres,2012M01,100.27
Índices,General,Cáceres,2013M01,103.07
Índices,General,Cáceres,2014M01,102.82
Índices,General,Cáceres,2015M01,101.47
Índices,General,Cáceres,2016M01,101.15
Índices,General,Cádiz,2002M01,77.95
Índices,General,Cádiz,2003M01,80.58
Índices,General,Cádiz,2004M01,82.06
Índices,General,Cádiz,2005M01,84.57
Índices,General,Cádiz,2006M01,88.08
Índices,General,Cádiz,2007M01,90.21
Índices,General,Cádiz,2008M01,94.04
Índices,General,Cádiz,2009M01,94.94
Índices,General,Cádiz,2010M01,95.39
Índices,General,Cádiz,2011M01,98.39
Índices,General,Cádiz,2012M01,99.97
Índices,General,Cádiz,2013M01,102.4
Índices,General,Cádiz,2014M01,102.69
Índices,General,Cádiz,2015M01,101.34
Índices,General,Cádiz,2016M01,101.26
Índices,General,Cantabria,2002M01,77.11
Índices,General,Cantabria,2003M01,79.81
Índices,General,Cantabria,2004M01,81.58
Índices,General,Cantabria,2005M01,83.74
Índices,General,Cantabria,2006M01,87.17
Índices,General,Cantabria,2007M01,89.19
Índices,General,Cantabria,2008M01,93.38
Índices,General,Cantabria,2009M01,94.07
Índices,General,Cantabria,2010M01,95.19
Índices,General,Cantabria,2011M01,98.57
Índices,General,Cantabria,2012M01,100.4
Índices,General,Cantabria,2013M01,103.87
Índices,General,Cantabria,2014M01,104.2
Índices,General,Cantabria,2015M01,102.45
Índices,General,Cantabria,2016M01,102.04
Índices,General,Castellón/Castelló,2002M01,76.75
Índices,General,Castellón/Castelló,2003M01,79.7
Índices,General,Castellón/Castelló,2004M01,81.6
Índices,General,Castellón/Castelló,2005M01,83.86
Índices,General,Castellón/Castelló,2006M01,87.46
Índices,General,Castellón/Castelló,2007M01,90.02
Índices,General,Castellón/Castelló,2008M01,93.87
Índices,General,Castellón/Castelló,2009M01,94.57
Índices,General,Castellón/Castelló,2010M01,95.18
Índices,General,Castellón/Castelló,2011M01,98.31
Índices,General,Castellón/Castelló,2012M01,100.13
Índices,General,Castellón/Castelló,2013M01,102.38
Índices,General,Castellón/Castelló,2014M01,102.28
Índices,General,Castellón/Castelló,2015M01,100.43
Índices,General,Castellón/Castelló,2016M01,99.8
Índices,General,Ciudad Real,2002M01,76.33
