[TIEMPO],[GENERAL Y GRUPOS ECOICOP],[Measures].[IPC La Rioja],[Measures].[Var (%) mensual (La Rioja)],[Measures].[Var (%) anual (La Rioja)],[Measures].[Var (%) en lo que va de año (La Rioja)]
[TIEMPO].[2023].[Septiembre (2023)],[GENERAL Y GRUPOS ECOICOP].[09 Ocio y cultura], 109,333,-4,1, 5,1, 3,6
[TIEMPO].[2023].[Septiembre (2023)],[GENERAL Y GRUPOS ECOICOP].[10 Enseñanza], 102,217, 0,8, 2,8, 1,4
[TIEMPO].[2023].[Septiembre (2023)],[GENERAL Y GRUPOS ECOICOP].[11 Restaurantes y hoteles], 115,965,-0,1, 6,6, 5,8
[TIEMPO].[2023].[Septiembre (2023)],[GENERAL Y GRUPOS ECOICOP].[12 Otros bienes y servicios], 110,122,-0,2, 4,8, 3,3
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[00 Índice general], 113,663, 0,5, 2,2, 2,9
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[01 Alimentos y bebidas no alcohólicas], 124,098, 0,1, 10,5, 5,6
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[02 Bebidas alcohólicas y tabaco], 112,503, 0,3, 8,2, 4,1
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[03 Vestido y calzado], 103,443,-0,7, 1,1,-11,9
[TIEMPO].[2023].[Agosto (2023)],"[GENERAL Y GRUPOS ECOICOP].[04 Vivienda, agua, electricidad, gas y otros combustibles]", 103,553,-0,4,-20,6,-6,1
[TIEMPO].[2023].[Agosto (2023)],"[GENERAL Y GRUPOS ECOICOP].[05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar]", 111,329,-0,5, 3,5, 1,3
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[06 Sanidad], 103,397, 0,1, 1,1, 1,0
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[07 Transporte], 114,371, 2,6, 2,0, 6,3
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[08 Comunicaciones], 101,996, 0,0, 4,3, 4,6
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[09 Ocio y cultura], 113,996, 1,2, 8,3, 8,0
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[10 Enseñanza], 101,438, 0,0, 4,2, 0,6
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[11 Restaurantes y hoteles], 116,123, 0,4, 6,7, 5,9
[TIEMPO].[2023].[Agosto (2023)],[GENERAL Y GRUPOS ECOICOP].[12 Otros bienes y servicios], 110,362, 0,4, 4,8, 3,5
